3.000000000e+001	2.940000000e+002
3.200000000e+001	2.470000000e+002
3.700000000e+001	2.670000000e+002
4.400000000e+001	3.580000000e+002
4.700000000e+001	4.230000000e+002
4.900000000e+001	3.110000000e+002
5.600000000e+001	4.500000000e+002
6.200000000e+001	5.340000000e+002
6.800000000e+001	4.380000000e+002
7.800000000e+001	6.970000000e+002
8.000000000e+001	6.880000000e+002
8.400000000e+001	6.300000000e+002
8.800000000e+001	7.090000000e+002
9.700000000e+001	6.270000000e+002
1.000000000e+002	6.150000000e+002
1.090000000e+002	9.990000000e+002
1.140000000e+002	1.022000000e+003
1.170000000e+002	1.015000000e+003
1.060000000e+002	7.000000000e+002
1.280000000e+002	8.500000000e+002
1.300000000e+002	9.800000000e+002
1.600000000e+002	1.025000000e+003
9.700000000e+001	1.021000000e+003
1.800000000e+002	1.200000000e+003
1.120000000e+002	1.250000000e+003
2.100000000e+002	1.500000000e+003
1.350000000e+002	1.650000000e+003
